review,rating,date,bank,source
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,Google Play
this app can't open? what is problem? please solve my problem?,1,2025-10-27,BOA,Google Play
kiyaa makonn,5,2025-10-27,BOA,Google Play
very very lazy app,1,2025-10-26,BOA,Google Play
telebirr remittance,5,2025-10-24,BOA,Google Play
The best bank in 🇪🇹,5,2025-10-23,BOA,Google Play
its good,5,2025-10-22,BOA,Google Play
the worst app in my financial experience.,1,2025-10-22,BOA,Google Play
good for mb appliciation,5,2025-10-21,BOA,Google Play
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,Google Play
try to easy network,4,2025-10-17,BOA,Google Play
hussen hassen umer,5,2025-10-16,BOA,Google Play
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,Google Play
an exceptional banking app.,5,2025-10-16,BOA,Google Play
alhamdulilah,5,2025-10-11,BOA,Google Play
poor,5,2025-10-10,BOA,Google Play
Best of best,5,2025-10-09,BOA,Google Play
very smart App easy to use and friendly,5,2025-11-29,Dashen,Google Play
Very exemplery App to other Bank Aps !,5,2025-11-28,Dashen,Google Play
It Is An Amazing app,4,2025-11-28,Dashen,Google Play
"its fast and easy to communicate to the app and its available all area keep it up.i will make Happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.",5,2025-11-26,Dashen,Google Play
What do you care about my phone's settings? Who are you to tell me what to turn off and on? It is my phone after all. This *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. Turn this thing off. 6 you fear this is a security issue fix your side not mine.,1,2025-11-25,Dashen,Google Play
Exceptional Product.,5,2025-11-23,Dashen,Google Play
very easy app,3,2025-11-22,Dashen,Google Play
"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!..",5,2025-11-19,Dashen,Google Play
በጣም ፈጣን ሥቹ አስተማማኝ ወድጃዋለው,5,2025-11-18,Dashen,Google Play
bill payment options are limited in this app please add ethio telecom bill electric bill etc.. instead of adding nonsense in banking app,1,2025-11-18,Dashen,Google Play
"it's a really slow app, I'm not sure what the issue is. Even other bank transfers are not working",2,2025-11-18,Dashen,Google Play
always updating bad stability,1,2025-11-17,Dashen,Google Play
"it say's disable developer option, i disabled it but its not working still",1,2025-11-17,Dashen,Google Play
with the super app evry thing i need is just a tap away,5,2025-11-16,Dashen,Google Play
eyita tips,1,2025-11-15,Dashen,Google Play
clear and presize,5,2025-11-15,Dashen,Google Play
smooth and easy!!!,5,2025-11-14,Dashen,Google Play
I have had an amazing experience with this app;ot os convenient and easy to use,5,2025-11-14,Dashen,Google Play
"All in One Super App with smooth navigation, transaction and lifestyle services",5,2025-11-14,Dashen,Google Play
Very nice App.,5,2025-11-14,Dashen,Google Play
system failure transfer to others account,2,2025-11-13,Dashen,Google Play
"Only the UI/UX is good, but it doesn't function properly. It's a shame that a leading tech bank has such an app. Amole is far better.",1,2025-11-13,Dashen,Google Play
"excellent app. to use perfectlly to pay,transfer,tele airtime and so on.",5,2025-11-12,Dashen,Google Play
wow dashen bank super app,5,2025-11-12,Dashen,Google Play
"This so-called “Super App” is a complete disappointment. It’s confusing, slow, and full of glitches honestly, it feels like it was designed to test people’s patience, not to help them bank. Calling it “super” is a joke; it’s one of the most useless apps I’ve ever used.",1,2025-11-11,Dashen,Google Play
Best Mobile Banking App in Ethiopia .,5,2025-11-11,Dashen,Google Play
very nice app I have ever seen,5,2025-11-10,Dashen,Google Play
NASTY BANK . EVEN THE SUPPER APP IS NOT WORKING WELL. WHEN I AM CALLING THEM THEY ARE NOT RESPONSE . PLEASE DON'T USE THIS APP BECAUSE YOU WILL LOSS YOU TIME ;ENERGY AND EVERYTHING . HOPELESS Bank .,1,2025-11-10,Dashen,Google Play
it's good but is not fast,5,2025-11-09,Dashen,Google Play
your financial system must improved,4,2025-11-09,Dashen,Google Play
your service is too good,5,2025-11-08,Dashen,Google Play
good experience,5,2025-11-08,Dashen,Google Play
"Amazing app, 👏",5,2025-11-07,Dashen,Google Play
wooow,5,2025-11-07,Dashen,Google Play
Nice app,5,2025-11-07,Dashen,Google Play
"easy to use, friendly",5,2025-11-06,Dashen,Google Play
"12yr more LC, UCP & ICC & loan",5,2025-11-06,Dashen,Google Play
"not attractive and friendly app. Check Awash, CBE apps",1,2025-11-06,Dashen,Google Play
amzing,5,2025-11-06,Dashen,Google Play
"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!",5,2025-11-05,Dashen,Google Play
betam kerfafa naw,1,2025-11-05,Dashen,Google Play
worst app ever,1,2025-11-05,Dashen,Google Play
"Dashen, always two step ahead.",5,2025-11-05,Dashen,Google Play
"Please try to fix the barrier between other banks specially with ""Commercial bank of Ethiopia""",3,2025-11-05,Dashen,Google Play
i am using,5,2025-11-05,Dashen,Google Play
It is a wonderful App developed by a local talent. It deserves an appreciation. It will continue to evolve with new exciting features.,5,2025-11-05,Dashen,Google Play
wonderful app,5,2025-11-05,Dashen,Google Play
"i love the app it features are perfect, but it asks to update too many times to activate your need to visit a nearest branch and that takes time. other than that the app is great I like it",5,2025-11-04,Dashen,Google Play
go ahead,5,2025-11-04,Dashen,Google Play
its supper,5,2025-11-04,Dashen,Google Play
